id,Name,Lat,Long,Race
366,Broadway T Stop,42.34278116224413,-71.05747275072645,White
362,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,White
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Black
367,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,White
369,Boston Public Market,42.36254854409333,-71.0573735833168,White
370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,White
368,Blue Hill Ave at Southwood St,42.31786020589988,-71.07798628527235,Black
371,700 Huron Ave,42.380788172914286,-71.15412890911102,White
372,Boylston St at Exeter St,42.349589423682445,-71.0794677917329,White
373,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046,White
374,Tremont St at Hamilton Place,42.35668334969929,-71.06166645884514,White
376,Honan Library,42.36027370454934,-71.12852452327388,White
377,Perry Park,42.37927324600841,-71.10341902831351,White
378,191 Beacon St,42.38032335045416,-71.10878612855231,White
380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,White
379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,White
381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,White
384,Clarendon St at Commonwealth Ave,42.35219035145307,-71.0760041699723,White
385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,White
386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,White
271,Ashmont T Stop,42.2856944,-71.0641389,White
404,Mass Ave T Station,42.34135615767354,-71.08336953450817,White
387,7 Acre Park,42.41143222973408,-71.06823265090497,White
390,Broadway at Lynde St,42.39648358247693,-71.06546759905541,White
389,Everett Square (Broadway at Chelsea St),42.40725945172653,-71.05546381333625,White
388,Main Street at Carter Street,42.406151572663504,-71.0604074504954,White
392,Glendale Square (Ferry St at Broadway),42.41427294293992,-71.04479655659816,White
397,Broadway at Beacham St,42.39836059620832,-71.06373842814719,White
394,Broadway at Maple St,42.410346909767846,-71.05260457852637,White
395,Chelsea St at Vine St,42.40328056972533,-71.04762639859473,Hispanic or Latino
396,Wasgatt Playground,42.4093300667225,-71.06381878293178,White
391,Encore,42.39329263225162,-71.0724475979805,White
393,Swan St. Park,42.412504507772105,-71.05842225271772,White
272,Shawmut T Stop,42.292917,-71.06575,Black
405,Sydney St at Carson St,42.32039374304257,-71.05355408051764,White
398,75 Binney St,42.36550728505653,-71.0801375997653,White
273,Forest Hills,42.300923,-71.114249,White
399,Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746,White
400,Lansdowne T Stop,42.34734473177431,-71.1001680795016,White
403,Marion St at Harvard St,42.33978052668946,-71.12133350232398,White
402,Washington St at Griggs Rd,42.33833423719901,-71.13050930220197,White
401,High St at Cypress St,42.32538435700882,-71.12177595532557,White
